,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
70,Mononoke-hime,"Animation, Action, Adventure","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,mononoke hime animation action adventure journey find cure tatarigami curse ashitaka finds middle war forest gods tatara mining colony quest also meets san mononoke hime hayao miyazaki ji matsuda yuriko ishida ko tanaka billy crudup
71,Once Upon a Time in America,"Crime, Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,upon time america crime drama former prohibition era jewish gangster returns lower east side manhattan thirty years later must confront ghosts regrets old life sergio leone robert de niro james woods elizabeth mcgovern treat williams
72,Raiders of the Lost Ark,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,raiders lost ark action adventure 1936 archaeologist adventurer indiana jones hired u government find ark covenant adolf hitler nazis obtain awesome powers steven spielberg harrison ford karen allen paul freeman john rhys davies
73,The Shining,"Drama, Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,shining drama horror family heads isolated hotel winter sinister presence influences father violence psychic son sees horrific forebodings past future stanley kubrick jack nicholson shelley duvall danny lloyd scatman crothers
74,Apocalypse Now,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,apocalypse drama mystery war u army officer serving vietnam tasked assassinating renegade special forces colonel sees god francis ford coppola martin sheen marlon brando robert duvall frederic forrest
75,Alien,"Horror, Sci-Fi","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,alien horror sci fi space merchant vessel receives unknown transmission distress call one crew attacked mysterious life form soon realize life cycle merely begun ridley scott sigourney weaver tom skerritt john hurt veronica cartwright
76,Anand,"Drama, Musical","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,anand drama musical story terminally ill man wishes live life fullest inevitable occurs told best friend hrishikesh mukherjee rajesh khanna amitabh bachchan sumita sanyal ramesh deo
77,Tengoku to jigoku,"Crime, Drama, Mystery",An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,tengoku jigoku crime drama mystery executive shoe company becomes victim extortion chauffeur son kidnapped held ransom akira kurosawa toshir mifune yutaka sada tatsuya nakadai ky ko kagawa
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,dr strangelove learned stop worrying love bomb comedy insane general triggers path nuclear holocaust war room full politicians generals frantically tries stop stanley kubrick peter sellers george c scott sterling hayden keenan wynn
79,Witness for the Prosecution,"Crime, Drama, Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,witness prosecution crime drama mystery veteran british barrister must defend client murder trial surprise surprise billy wilder tyrone power marlene dietrich charles laughton elsa lanchester
80,Paths of Glory,"Drama, War","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,paths glory drama war refusing attack enemy position general accuses soldiers cowardice commanding officer must defend stanley kubrick kirk douglas ralph meeker adolphe menjou george macready
81,Rear Window,"Mystery, Thriller",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,rear window mystery thriller wheelchair bound photographer spies neighbors apartment window becomes convinced one committed murder alfred hitchcock james stewart grace kelly wendell corey thelma ritter
82,Sunset Blvd.,"Drama, Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,sunset blvd drama film noir screenwriter develops dangerous relationship faded film star determined make triumphant return billy wilder william holden gloria swanson erich von stroheim nancy olson
83,The Great Dictator,"Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,great dictator comedy drama war dictator adenoid hynkel tries expand empire poor jewish barber tries avoid persecution hynkel regime charles chaplin charles chaplin paulette goddard jack oakie reginald gardiner
84,1917,"Drama, Thriller, War","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,1917 drama thriller war april 6th 1917 regiment assembles wage war deep enemy territory two soldiers assigned race time deliver message stop 1 600 men walking straight deadly trap sam mendes dean charles chapman george mackay daniel mays colin firth
85,Tumbbad,"Drama, Fantasy, Horror",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,tumbbad drama fantasy horror mythological story goddess created entire universe plot revolves around consequences humans build temple first born rahi anil barve anand gandhi adesh prasad sohum shah jyoti malshe
86,Andhadhun,"Crime, Drama, Music","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,andhadhun crime drama music series mysterious events change life blind pianist must report crime technically know nothing sriram raghavan ayushmann khurrana tabu radhika apte anil dhawan
87,Drishyam,"Crime, Drama, Thriller",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba,drishyam crime drama thriller man goes extreme lengths save family punishment family commits accidental crime jeethu joseph mohanlal meena asha sharath ansiba
88,Jagten,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,jagten drama teacher lives lonely life struggling son custody life slowly gets better finds love receives good news son new luck brutally shattered innocent little lie thomas vinterberg mads mikkelsen thomas bo larsen annika wedderkopp lasse fogelstr
89,Jodaeiye Nader az Simin,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,jodaeiye nader az simin drama married couple faced difficult decision improve life child moving another country stay iran look deteriorating parent alzheimer disease asghar farhadi payman maadi leila hatami sareh bayat shahab hosseini
90,Incendies,"Drama, Mystery, War",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,incendies drama mystery war twins journey middle east discover family history fulfill mother last wishes denis villeneuve lubna azabal lissa sormeaux poulin maxim gaudette mustafa kamel
91,Miracle in cell NO.7,Drama,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,Mehmet Ada Öztekin,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Deniz Baysal,Celile Toyon Uysal,miracle cell 7 drama story love mentally ill father wrongly accused murder lovely six years old daughter prison would home based 2013 korean movie 7 beon bang ui seon mul 2013 mehmet ada ztekin aras bulut iynemli nisa sofiya aksongur deniz baysal celile toyon uysal
